iter	Accuracy	Logloss
0	0.5890966831	0.6905684452
1	0.5991531404	0.6881435135
2	0.6053281581	0.6852734541
3	0.6053281581	0.6825789497
4	0.6127381793	0.6799212337
5	0.6136203246	0.6775628812
6	0.6194424841	0.6753851991
7	0.612208892	0.6740436056
8	0.6134438956	0.6727239208
9	0.6143260409	0.6707816765
10	0.6152081863	0.6689703735
11	0.6157374735	0.6673426591
12	0.6189131969	0.6659121716
13	0.6187367678	0.6648642866
14	0.6164431898	0.6635170868
15	0.6183839097	0.6621576283
16	0.6205010586	0.6609893415
17	0.6208539167	0.6597293163
18	0.6227946366	0.6587102598
19	0.621559633	0.6578045575
20	0.6224417784	0.6567575651
21	0.6233239238	0.6558843477
22	0.6229710656	0.6549482446
23	0.6217360621	0.6540738089
24	0.6257939308	0.6532613174
25	0.6254410727	0.652384928
26	0.6259703599	0.6516723834
27	0.6250882145	0.651158018
28	0.6268525053	0.6504451006
29	0.6256175018	0.6496983594
30	0.6254410727	0.6492239541
31	0.626146789	0.6487276573
32	0.6273817925	0.6478905932
33	0.6273817925	0.6473325477
34	0.6287932251	0.6462108146
35	0.6289696542	0.645687302
36	0.6302046577	0.6452967395
37	0.6303810868	0.6445587813
38	0.6302046577	0.6444024527
39	0.6319689485	0.6440464517
40	0.6321453776	0.6432679227
41	0.6328510939	0.6430163545
42	0.6323218066	0.6426564836
43	0.6353211009	0.6420659907
44	0.63549753	0.6416816533
45	0.6367325335	0.6408401212
46	0.6367325335	0.6404772959
47	0.637791108	0.6399766532
48	0.6388496824	0.6393405893
49	0.6384968243	0.6388673363
50	0.6376146789	0.6388124456
