iter	Passed	Remaining
0	57	28763
1	155	38622
2	243	40415
3	328	40721
4	413	40964
5	518	42725
6	605	42643
7	687	42299
8	772	42149
9	858	42058
10	939	41786
11	1021	41530
12	1110	41602
13	1196	41534
14	1284	41542
15	1373	41553
16	1456	41374
17	1536	41138
18	1622	41077
19	1707	40971
20	1792	40890
21	1878	40821
22	1961	40669
23	2048	40635
24	2134	40551
25	2224	40554
26	2313	40522
27	2405	40543
28	2490	40452
29	2582	40459
30	2668	40378
31	2753	40274
32	2837	40157
33	2932	40189
34	3024	40178
35	3107	40056
36	3189	39914
37	3273	39798
38	3317	39219
39	3408	39194
40	3492	39102
41	3582	39071
42	3674	39049
43	3762	38992
44	3841	38846
45	3858	38081
46	3950	38079
47	4032	37971
48	4111	37845
49	4197	37773
50	4290	37776
51	4371	37658
52	4451	37541
53	4531	37423
54	4611	37311
55	4692	37207
56	4773	37096
57	4853	36984
58	4935	36893
59	5021	36826
60	5066	36459
61	5151	36391
62	5241	36360
63	5326	36289
64	5414	36233
65	5496	36145
66	5587	36110
67	5669	36016
68	5748	35908
69	5833	35834
70	5918	35760
71	6003	35688
72	6087	35609
73	6173	35540
74	6256	35454
75	6338	35360
76	6418	35257
77	6501	35176
78	6590	35120
79	6674	35040
80	6756	34948
81	6799	34661
82	6884	34590
83	6970	34519
84	7056	34451
85	7143	34389
86	7230	34322
87	7323	34286
88	7405	34198
89	7492	34132
90	7578	34062
91	7667	34003
92	7759	33956
93	7842	33872
94	7930	33810
95	8019	33747
96	8105	33677
97	8193	33611
98	8278	33531
99	8365	33460
100	8449	33380
101	8529	33282
102	8611	33192
103	8693	33103
104	8775	33011
105	8855	32917
106	8937	32825
107	9015	32724
108	9102	32653
109	9189	32582
110	9281	32527
111	9365	32443
112	9448	32357
113	9478	32093
114	9562	32012
115	9646	31934
116	9727	31843
117	9812	31765
118	9894	31680
119	9980	31603
120	10063	31520
121	10144	31431
122	10230	31357
123	10313	31272
124	10394	31183
125	10474	31091
126	10554	30999
127	10611	30838
128	10691	30747
129	10771	30657
130	10852	30568
131	10932	30479
132	11019	30406
133	11101	30323
134	11192	30260
135	11276	30181
136	11357	30094
137	11441	30014
138	11521	29921
139	11604	29839
140	11669	29712
141	11748	29620
142	11831	29537
143	11916	29460
144	12001	29384
145	12095	29327
146	12197	29291
147	12279	29205
148	12362	29123
149	12458	29069
150	12543	28990
151	12628	28913
152	12711	28828
153	12799	28757
154	12882	28672
155	12968	28597
156	13059	28531
157	13146	28456
158	13234	28383
159	13321	28308
160	13422	28261
161	13510	28188
162	13596	28110
163	13679	28025
164	13761	27940
165	13847	27861
166	13929	27776
167	14027	27721
168	14114	27644
169	14201	27567
170	14288	27490
171	14374	27412
172	14463	27338
173	14552	27265
174	14640	27189
175	14724	27105
176	14805	27018
177	14887	26931
178	14972	26850
179	15057	26769
180	15143	26688
181	15229	26610
182	15324	26545
183	15410	26465
184	15491	26376
185	15579	26301
186	15664	26219
187	15748	26136
188	15835	26056
189	15921	25976
190	16006	25895
191	16093	25817
192	16182	25740
193	16271	25665
194	16357	25584
195	16447	25509
196	16531	25427
197	16641	25383
198	16727	25300
199	16810	25215
200	16896	25134
201	16980	25050
202	17093	25009
