iter	Logloss
0	0.6905365235
1	0.6880089153
2	0.6856447248
3	0.6834733678
4	0.6814334559
5	0.6796264453
6	0.6775287552
7	0.6762681141
8	0.6754206664
9	0.673907365
10	0.6727342279
11	0.6717300431
12	0.6707693543
13	0.6696395556
14	0.6685039649
15	0.6676814256
16	0.666927711
17	0.666361647
18	0.6655180028
19	0.6646573224
20	0.6640501433
21	0.663641251
22	0.6627732897
23	0.6619402878
24	0.6611990517
25	0.6606908131
26	0.6602908741
27	0.6597122657
28	0.6591729922
29	0.6586347795
30	0.6580493598
31	0.6574832026
32	0.6569268756
33	0.6565890859
34	0.6562342441
35	0.6559896907
36	0.6556307012
37	0.6551133486
38	0.6548148897
39	0.6543893861
40	0.6539018003
41	0.6536783241
42	0.6533012725
43	0.6530480059
44	0.6528494577
45	0.6525079297
46	0.6521600926
47	0.6520010475
48	0.6517759402
49	0.6515357644
50	0.6512841798
51	0.6509264949
52	0.6505978295
53	0.6503806446
54	0.6501274189
55	0.6500540001
56	0.6496097637
57	0.6493803767
58	0.6492489805
59	0.6491110173
60	0.6488022202
61	0.6487158831
62	0.6484753169
63	0.6483224886
64	0.6479279986
65	0.6477582105
66	0.6476765993
67	0.6475088328
68	0.6473569618
69	0.6471812913
70	0.6471115221
71	0.6468574041
72	0.6466521668
73	0.6463685646
74	0.6461779146
75	0.6460045246
76	0.6459419596
77	0.6457734481
78	0.6456636882
79	0.6453941512
80	0.6452771115
81	0.6451029465
82	0.6449188614
83	0.6448076712
84	0.6446796137
85	0.6444379107
86	0.6441856939
87	0.6439040542
88	0.6438596664
89	0.6436984215
90	0.6435583292
91	0.6432732936
92	0.6430993033
93	0.6429977423
94	0.6427523715
95	0.6426616338
96	0.6424127244
97	0.6422061012
98	0.6421199785
99	0.6419906499
100	0.6419333748
101	0.6416379733
102	0.6414224215
103	0.641291611
104	0.6412174657
105	0.6411473762
106	0.6411148407
107	0.6410251981
108	0.6408601926
109	0.6407515421
110	0.6406506907
111	0.6405478358
112	0.6404230163
113	0.6402823436
114	0.6401149078
115	0.6399045337
116	0.6397028403
117	0.639591169
118	0.6394195378
119	0.639265995
120	0.6390969127
121	0.639013418
122	0.6389106835
123	0.6387939238
124	0.6385339523
125	0.6382357232
126	0.6380417873
127	0.6379010549
128	0.6376942543
129	0.6375576947
130	0.637456251
131	0.6373327048
132	0.6370192193
133	0.6368930564
134	0.6367942068
135	0.6365543274
136	0.6363036852
137	0.6361322589
138	0.6360829524
139	0.6359147086
140	0.6357970736
141	0.6355837823
142	0.6355641786
143	0.6354261066
144	0.6352266632
145	0.6350903755
146	0.6350037106
147	0.6349343121
148	0.634887482
149	0.6347596435
150	0.6345815011
151	0.6344911927
152	0.6344634261
153	0.6344001071
154	0.6343577157
155	0.6342807609
156	0.6341731808
157	0.6341476618
158	0.6339510727
159	0.6338179543
160	0.6336837066
161	0.6336067721
162	0.6333675561
163	0.6332472238
164	0.6329648609
165	0.6326906186
166	0.6326356669
167	0.6324427981
168	0.6321486102
169	0.6319390076
170	0.6317241675
171	0.6314886934
172	0.6313953839
173	0.631315646
174	0.6312267207
175	0.6309866195
176	0.630929424
177	0.630850017
178	0.6308414538
179	0.6307478147
180	0.6305428671
181	0.6304865063
182	0.6303199932
183	0.6301751021
184	0.630106389
185	0.6299086106
186	0.6298382431
187	0.6296720096
188	0.6294973084
189	0.6292649781
190	0.6290472584
191	0.6288646254
192	0.6287060626
193	0.6284632714
194	0.6281261259
195	0.6278580605
196	0.6276278093
197	0.6275622055
198	0.627241807
199	0.6269899492
200	0.6266936289
201	0.6265218641
202	0.6264381135
203	0.6261864369
204	0.6260076876
205	0.6258700226
206	0.625784481
207	0.6256102127
208	0.6253834987
209	0.6250885683
210	0.6248256884
211	0.6246368906
212	0.6244225497
213	0.6241383908
214	0.6239686115
215	0.6238000439
216	0.6236434402
217	0.6235088088
218	0.623177221
219	0.6231098082
220	0.6229305786
221	0.6228446283
222	0.6227230691
223	0.6224425856
224	0.6222368194
225	0.6221642291
226	0.6220424438
227	0.6218990193
228	0.6216970926
229	0.6216038062
230	0.6213279465
231	0.6212403914
232	0.6209221188
233	0.6205991089
234	0.6203845393
235	0.6201971303
236	0.6199340076
237	0.6195964942
238	0.6194636384
239	0.6192809985
240	0.6189812886
241	0.6188729448
242	0.6185899571
243	0.6184331351
244	0.6182737763
245	0.6181772018
246	0.6179412736
247	0.6176664873
248	0.6174972101
249	0.6172976138
250	0.6170964265
251	0.6167969925
252	0.616746584
253	0.6164270522
254	0.6161706045
255	0.6160374506
256	0.6159119204
257	0.615816282
258	0.6155817801
259	0.6152131625
260	0.6150368722
261	0.6149669611
262	0.6148665047
263	0.6147569218
264	0.6146482427
265	0.6146045923
266	0.6143466347
267	0.6141626784
268	0.6140872427
269	0.6138981195
270	0.6137739295
271	0.6135553362
272	0.6134098604
273	0.6131753122
274	0.6130866656
275	0.6129598812
276	0.6127558063
277	0.6124957001
278	0.6123863162
279	0.612181755
280	0.6120596788
281	0.6118694756
282	0.6117507637
283	0.6115664155
284	0.6114088868
285	0.6113460504
286	0.6112918548
287	0.611239194
288	0.6110638914
289	0.610915708
290	0.6107886677
291	0.6105775648
292	0.6105312359
293	0.6102606203
294	0.6101021759
295	0.6098763865
296	0.6096953115
297	0.6095927074
298	0.6094067172
299	0.6092557553
