iter	Passed	Remaining
0	56	28088
1	125	31160
2	193	32030
3	243	30143
4	310	30768
5	361	29790
6	431	30376
7	500	30786
8	569	31063
9	646	31683
10	699	31087
11	775	31517
12	859	32201
13	932	32383
14	1014	32818
15	1114	33713
16	1188	33781
17	1266	33912
18	1304	33035
19	1378	33083
20	1450	33086
21	1524	33122
22	1601	33222
23	1672	33165
24	1747	33211
25	1820	33183
26	1892	33156
27	1950	32880
28	2027	32925
29	2105	32982
30	2183	33031
31	2259	33051
32	2336	33063
33	2412	33066
34	2486	33041
35	2566	33073
36	2641	33054
37	2718	33050
38	2795	33046
39	2867	32978
40	2940	32919
41	3015	32888
42	3088	32820
43	3159	32744
44	3234	32708
45	3304	32617
46	3370	32482
47	3437	32367
48	3511	32323
49	3590	32310
50	3666	32279
51	3740	32224
52	3868	32626
53	3959	32702
54	4095	33137
55	4171	33076
56	4246	33003
57	4328	32983
58	4401	32899
59	4470	32782
60	4537	32657
61	4611	32574
62	4687	32513
63	4778	32552
64	4850	32460
65	4921	32360
66	4999	32308
67	5069	32203
68	5144	32135
69	5221	32072
70	5291	31972
71	5368	31915
72	5445	31850
73	5514	31745
74	5589	31673
75	5662	31588
76	5734	31504
77	5811	31444
78	5887	31375
79	5961	31297
80	6031	31202
81	6108	31136
82	6183	31067
83	6256	30982
84	6327	30894
85	6395	30787
86	6468	30708
87	6546	30649
88	6620	30573
89	6707	30555
90	6782	30483
91	6851	30385
92	6926	30313
93	6998	30227
94	7072	30153
95	7148	30082
96	7225	30018
97	7300	29948
98	7372	29860
99	7453	29812
100	7532	29755
101	7601	29660
102	7667	29553
103	7740	29471
104	7814	29397
105	7920	29440
106	7998	29377
107	8073	29304
108	8148	29231
109	8224	29157
110	8292	29062
111	8369	28995
112	8444	28920
113	8517	28839
114	8602	28801
115	8659	28665
116	8732	28584
117	8806	28510
118	8881	28434
119	8957	28364
120	9050	28347
121	9127	28281
122	9242	28328
123	9322	28269
124	9401	28204
125	9479	28136
126	9551	28054
127	9622	27965
128	9694	27880
129	9769	27804
130	9847	27739
131	9925	27670
132	10003	27604
133	10078	27528
134	10151	27445
135	10229	27379
136	10303	27301
137	10378	27224
138	10446	27129
139	10520	27052
140	10599	26986
141	10677	26918
142	10756	26852
143	10834	26786
144	10914	26721
145	10990	26647
146	11066	26575
147	11156	26534
148	11229	26453
149	11304	26377
150	11377	26296
151	11454	26224
152	11529	26148
153	11600	26063
154	11673	25982
155	11750	25912
156	11826	25838
157	11903	25766
158	11979	25692
159	12055	25617
160	12130	25541
161	12204	25464
162	12275	25378
163	12342	25286
164	12416	25208
165	12491	25133
166	12564	25052
167	12631	24962
168	12698	24871
169	12767	24784
170	12836	24697
171	12911	24622
172	12982	24538
173	13056	24462
174	13131	24386
175	13208	24314
176	13284	24241
177	13358	24166
178	13425	24075
179	13493	23989
180	13576	23927
181	13651	23852
182	13726	23776
183	13803	23705
184	13877	23628
185	13950	23551
186	14026	23478
187	14097	23395
188	14181	23335
